date,obs,med
2017-07-10,0.0,8.349732
2017-07-11,0.0,4.3028526
2017-07-12,0.0,9.793809
2017-07-13,0.137151312,18.130167
2017-07-14,0.0,25.889902
2017-07-15,0.0,28.954865
2017-07-16,0.0,19.92277
2017-07-17,0.0,13.963294
2017-07-18,2.605880312,11.515853
2017-07-19,0.137151312,13.872598
2017-07-20,0.0,5.716094
2017-07-21,0.0,1.7524104
2017-07-22,0.0,6.8136916
2017-07-23,0.0,7.0232
2017-07-24,0.0,5.710808
2017-07-25,0.0,9.138573
2017-07-26,0.0,10.86222
2017-07-27,0.0,7.7523766
2017-07-28,0.0,16.19636
2017-07-29,0.0,27.196104
2017-07-30,0.0,46.879765
2017-07-31,13.57800064,67.52502
2017-08-01,4.80030746,134.18652
2017-08-02,21.39564158,120.38211
2017-08-03,53.62625758,160.6459
2017-08-04,6.58327374,110.537254
2017-08-05,11.93218799,46.998035
2017-08-06,4.251700673,63.47679
2017-08-07,7.131880527,42.07464
2017-08-08,28.80182935,28.42918
2017-08-09,20.02412847,16.552622
2017-08-10,4.251700673,9.8775
2017-08-11,1.234367197,2.126521
2017-08-12,1.234367197,49.446774
2017-08-13,7.680487314,65.503334
2017-08-14,2.331573067,78.018456
2017-08-15,0.548606017,35.152035
2017-08-16,0.274303394,17.591465
2017-08-17,0.274303394,10.890895
2017-08-18,0.274303394,5.853486
2017-08-19,0.274303394,2.4104276
2017-08-20,0.411454705,0.0
2017-08-21,7.406187773,15.349956
2017-08-22,5.623213789,30.600943
2017-08-23,0.960059951,32.64977
2017-08-24,0.411454705,23.06543
2017-08-25,0.274303394,19.754734
2017-08-26,0.274303394,12.974587
2017-08-27,0.274303394,10.007761
2017-08-28,0.274303394,4.727689
2017-08-29,0.274303394,2.619432
2017-08-30,0.548606017,3.687888
2017-08-31,2.194427148,2.7097335
2017-09-01,0.411454705,3.0868516
2017-09-02,0.411454705,1.0236976
2017-09-03,0.274303394,0.6181823
2017-09-04,0.274303394,0.50443935
2017-09-05,0.274303394,0.0
2017-09-06,0.411454705,0.0
2017-09-07,0.411454705,0.0
2017-09-08,0.411454705,2.9565187
2017-09-09,0.274303394,2.9176178
2017-09-10,0.274303394,0.66218233
2017-09-11,0.274303394,1.0811751
2017-09-12,0.274303394,0.5443634
2017-09-13,0.411454705,2.2106938
2017-09-14,0.274303394,1.1719328
2017-09-15,0.411454705,14.133746
2017-09-16,0.274303394,14.404704
2017-09-17,0.274303394,11.532472
2017-09-18,0.274303394,6.778467
2017-09-19,0.274303394,3.8727822
2017-09-20,0.137151312,2.0067387
2017-09-21,0.137151312,1.7723843
2017-09-22,0.0,2.1011686
2017-09-23,0.0,0.0
2017-09-24,0.0,8.450233
2017-09-25,0.0,6.2025533
2017-09-26,0.0,1.5961907
2017-09-27,0.411454705,34.29787
2017-09-28,108.3497287,103.676025
2017-09-29,359.3370757,577.5491
2017-09-30,3757.952593,1015.1116
2017-10-01,1426.376167,2098.355
2017-10-02,2660.740159,1374.9095
2017-10-03,2551.018917,809.7942
2017-10-04,2907.612959,1226.727
2017-10-05,1138.357904,1708.398
2017-10-06,1741.824746,487.17865
2017-10-07,1563.527725,1039.1533
2017-10-08,2153.279405,1125.5173
2017-10-09,1338.599174,1519.9625
2017-10-10,122.064883,1166.1692
2017-10-11,38.12812932,79.682045
2017-10-12,21.66994883,50.011715
2017-10-13,13.16654748,37.117226
2017-10-14,5.486060166,32.617516
2017-10-15,1.508666738,25.766039
2017-10-16,0.685758099,24.555277
2017-10-17,0.411454705,19.422129
2017-10-18,0.274303394,20.833117
2017-10-19,0.274303394,18.25809
2017-10-20,0.274303394,28.016155
2017-10-21,0.137151312,25.711637
2017-10-22,0.137151312,18.369835
2017-10-23,0.137151312,14.17417
2017-10-24,0.137151312,13.205921
2017-10-25,0.137151312,9.080914
2017-10-26,0.137151312,16.809404
2017-10-27,0.137151312,14.57069
2017-10-28,0.137151312,12.636025
2017-10-29,0.137151312,14.606
2017-10-30,0.137151312,16.624437
2017-10-31,0.137151312,19.072603
2017-11-01,0.137151312,21.77237
2017-11-02,0.137151312,17.451378
2017-11-03,0.137151312,18.59674
2017-11-04,0.137151312,20.14427
2017-11-05,0.137151312,9.984715
2017-11-06,0.137151312,10.222884
2017-11-07,0.137151312,5.2162495
2017-11-08,0.137151312,7.729643
2017-11-09,0.137151312,1.4262927
2017-11-10,0.137151312,12.748349
2017-11-11,0.137151312,3.777374
2017-11-12,0.137151312,1.3862511
2017-11-13,0.137151312,3.9620388
2017-11-14,0.137151312,1.8460641
2017-11-15,0.137151312,1.710769
