date,obs,pred
2017-03-05,0.0,19.605675
2017-03-06,0.0,17.611382
2017-03-07,0.0,15.525438
2017-03-08,0.0,17.740105
2017-03-09,0.0,17.56028
2017-03-10,0.0,17.25068
2017-03-11,0.0,17.514091
2017-03-12,0.0,16.314007
2017-03-13,0.0,16.686626
2017-03-14,0.0,16.97264
2017-03-15,0.0,16.652174
2017-03-16,0.0,17.863827
2017-03-17,0.0,18.066502
2017-03-18,0.0,18.771845
2017-03-19,0.0,19.126411
2017-03-20,0.0,18.522535
2017-03-21,0.0,18.8362
2017-03-22,0.0,19.054277
2017-03-23,0.0,14.009985
2017-03-24,0.0,26.031532
2017-03-25,0.0,26.829733
2017-03-26,0.0,27.32114
2017-03-27,0.0,22.091854
2017-03-28,0.0,16.807133
2017-03-29,0.0,29.781717
2017-03-30,0.0,35.059185
2017-03-31,0.0,27.422497
2017-04-01,0.0,14.60317
2017-04-02,0.0,27.805717
2017-04-03,0.0,33.964188
2017-04-04,0.0,29.92832
2017-04-05,0.548606016590945,28.448772
2017-04-06,2.468726689439542,25.245403
2017-04-07,2.8801798536137895,21.615894
2017-04-08,2.605880312295639,21.29107
2017-04-09,1.6458203610910402,19.014532
2017-04-10,6.308974198651974,15.965157
2017-04-11,5.211760624591278,17.479362
2017-04-12,4.937453378879084,19.120207
2017-04-13,4.251700673386679,19.096474
2017-04-14,3.2916407221820876,19.708162
2017-04-15,4.937453378879084,19.09412
2017-04-16,3.8402398048183812,17.816444
2017-04-17,1.2343671969167929,18.941765
2017-04-18,0.548606016590945,20.092287
2017-04-19,0.27430339351517574,19.781286
2017-04-20,0.27430339351517574,18.293535
2017-04-21,11.520727118849198,18.844812
2017-04-22,15.635274169379787,17.331047
2017-04-23,20.29842800694072,18.84034
2017-04-24,32.09346237150213,20.33947
2017-04-25,41.83122321079824,13.000971
2017-04-26,46.22007750704102,30.980595
2017-04-27,42.65413724354079,38.393974
2017-04-28,42.51698362068469,22.264414
2017-04-29,48.003043786594105,22.33184
2017-04-30,44.98571031012423,43.236843
2017-05-01,33.32782956841891,34.853924
2017-05-02,19.88697484276647,27.513506
2017-05-03,14.400914676857045,23.544508
2017-05-04,12.755094315766002,20.72417
2017-05-05,8.777700888091516,21.126945
2017-05-06,2.743033935151736,19.57748
2017-05-07,0.9600599512045989,15.876726
2017-05-08,0.27430339351517574,14.683996
2017-05-09,0.13715131153788462,15.638533
2017-05-10,6.583273739970124,17.426167
2017-05-11,21.80709474517566,36.29634
2017-05-12,28.11606894382764,45.0365
2017-05-13,40.596863718275486,36.014732
2017-05-14,47.72874424527596,24.863264
2017-05-15,41.14546280091179,19.248304
2017-05-16,24.96158184450165,14.72246
2017-05-17,28.25322256668373,23.636707
2017-05-18,33.876436355449265,30.38933
2017-05-19,36.89376983191915,31.744745
